# magnetic superspace group                           ({Mxc1,Mxs1},{Myc1,Mys1},{Mzc1,Mzs1};{Mxc2,Mxs2},{Myc2,Mys2},{Mzc2,Mzs2})
123.2.68.23.m342.1 P4'/mm'm(a,a,0)000s(-a,a,0)0000  ({  - ,  - },{  - ,  - },{  A ,  - };{  - ,  - },{  - ,  - },{ -A ,  - })
123.2.68.23.m343.1 P4'/mmm'(a,a,0)000s(-a,a,0)0000  ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.68.23.m344.1 P4'/m'm'm(a,a,0)000s(-a,a,0)0000 ({  - ,  A },{  - ,  A },{  - ,  - };{  - ,  A },{  - , -A },{  - ,  - })
123.2.68.23.m345.1 P4/mm'm'(a,a,0)000s(-a,a,0)0000  ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.68.23.m346.1 P4'/m'mm'(a,a,0)000s(-a,a,0)0000 ({  - ,  A },{  - , -A },{  - ,  - };{  - , -A },{  - , -A },{  - ,  - })
123.2.68.23.m347.1 P4/m'm'm'(a,a,0)000s(-a,a,0)0000 ({  - ,  A },{  - , -A },{  - ,  - };{  - ,  A },{  - ,  A },{  - ,  - })
123.2.68.24.m339.1 P4/mmm.1(a,a,0)0s0s(-a,a,0)0s00  ({  A ,  - },{  A ,  - },{  - ,  - };{  A ,  - },{ -A ,  - },{  - ,  - })
123.2.68.24.m341.1 P4/m'mm(a,a,0)0s0s(-a,a,0)0s00   ({  - ,  - },{  - ,  - },{  - ,  A };{  - ,  - },{  - ,  - },{  - , -A })
123.2.68.24.m342.1 P4'/mm'm(a,a,0)0s0s(-a,a,0)0s00  ({  A ,  - },{  A ,  - },{  - ,  - };{ -A ,  - },{  A ,  - },{  - ,  - })
123.2.68.24.m343.1 P4'/mmm'(a,a,0)0s0s(-a,a,0)0s00  ({  A ,  - },{ -A ,  - },{  - ,  - };{  A ,  - },{  A ,  - },{  - ,  - })
123.2.68.24.m344.1 P4'/m'm'm(a,a,0)0s0s(-a,a,0)0s00 ({  - ,  - },{  - ,  - },{  - ,  A };{  - ,  - },{  - ,  - },{  - ,  A })
123.2.68.24.m345.1 P4/mm'm'(a,a,0)0s0s(-a,a,0)0s00  ({  A ,  - },{ -A ,  - },{  - ,  - };{ -A ,  - },{ -A ,  - },{  - ,  - })
123.2.68.24.m346.1 P4'/m'mm'(a,a,0)0s0s(-a,a,0)0s00 ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.68.24.m347.1 P4/m'm'm'(a,a,0)0s0s(-a,a,0)0s00 ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })


# for (alpha, beta, 0)(-alpha-beta, alpha, 0):
# magnetic superspace group                            ({Mxc1,Mxs1},{Myc1,Mys1},{Mzc1,Mzs1};  {Mxc2,Mxs2},{Myc2,Mys2},{Mzc2,Mzs2};  {Mxc3,Mxs3},{Myc3,Mys3},{Mzc3,Mzs3})

143.2.80.4.m1.1      P3.1(a,b,0)0(-a-b,a,0)0         ({  A ,  B },{  C ,  D },{  E ,  F };  { -C , -D },{ A-C, B-D},{  E ,  F };  {-A+C,-B+D},{ -A , -B },{  E ,  F })
147.2.80.3.m13.1    P-3.1(a,b,0)0(-a-b,a,0)0         ({  A ,  0 },{  B ,  0 },{  C ,  0 };  { -B ,  0 },{ A-B,  0 },{  C ,  0 };  {-A+B,  0 },{ -A ,  0 },{  C ,  0 })
